Player,Pos,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS,Salary
Shaun Livingston,PG,71,7,15.9,1.8,2,0.5,0.3,0.8,5.5,7692308
Kevon Looney,C,66,4,13.8,3.3,0.6,0.5,0.8,0.5,4,1471382
Brook Lopez,C,74,72,23.4,4,1.7,0.4,1.3,1.3,13,22642350
Robin Lopez,C,64,64,26.4,4.5,1.9,0.2,0.8,1.7,11.8,13788500
Kevin Love,C,59,59,28,9.3,1.7,0.7,0.4,1.5,17.6,22642350
Kyle Lowry,PG,78,78,32.2,5.6,6.9,1.1,0.2,2.3,16.2,28903704
Tyler Lydon,PF,1,0,2,0,0,0,0,0,0,1579440
Trey Lyles,PF,73,2,19.1,4.8,1.2,0.4,0.5,0.8,9.9,2441400
Shelvin Mack,PG,69,3,19.8,2.4,3.9,0.8,0.1,1.3,6.9,6000000
Josh Magette,PG,18,0,12,1.1,3.2,0.4,0.1,0.5,2.6,77250
Ian Mahinmi,C,77,0,14.9,4.1,0.7,0.5,0.5,1.3,4.8,16000000
Thon Maker,C,74,12,16.7,3,0.6,0.5,0.7,0.6,4.8,3086784
Lauri Markkanen,PF,68,68,29.7,7.5,1.2,0.6,0.6,1.2,15.2,3821640
Jarell Martin,PF,73,36,22.8,4.4,1,0.5,0.7,1.2,7.7,1471382
Mangok Mathiang,C,4,0,5,2.5,0,0.3,0,0,2,77250
Wesley Matthews,SF,63,62,33.8,3.1,2.7,1.2,0.3,1.3,12.7,17884175
Luc Mbah a Moute,PF,61,15,25.6,3,0.9,1.2,0.4,1.1,7.5,2116955
James Michael McAdoo,PF,3,0,6,0.7,0,0,0.3,0.3,2.7,77250
Patrick McCaw,SG,57,10,16.9,1.4,1.4,0.8,0.2,0.7,4,1312611
CJ McCollum,SG,81,81,36.1,4,3.4,1,0.4,1.9,21.4,23962573
Erik McCree,SF,4,0,2,0.3,0,0.3,0,0.3,0,77250
Chris McCullough,PF,19,0,4.7,1.3,0.2,0,0.3,0.1,2.4,1471382
Doug McDermott,SF,81,4,21.8,2.5,1,0.2,0.2,0.7,7.8,3294994
JaVale McGee,C,65,17,9.5,2.6,0.5,0.3,0.9,0.4,4.8,2116955
Rodney McGruder,SG,18,2,16.6,1.8,0.9,0.4,0.2,0.2,5.1,1312611
Trey McKinney-Jones,SG,1,0,1,0,0,0,0,0,0,46079
Alfonzo McKinnie,SF,14,0,3.8,0.5,0.1,0.1,0.1,0.2,1.5,815615
Ben McLemore,SG,56,17,19.5,2.5,0.9,0.7,0.3,1.1,7.5,5200000
Josh McRoberts,PF,2,0,3,0,0,0,0,0,0,6021175
Jodie Meeks,SG,77,0,14.5,1.6,0.9,0.4,0.1,0.5,6.3,3290000
Salah Mejri,C,61,1,12,4,0.6,0.4,1.1,0.6,3.5,1471382
Jordan Mickey,PF,23,3,12.3,3.5,0.4,0.3,0.4,0.8,4,1471382
Khris Middleton,SF,82,82,36.4,5.2,4,1.5,0.3,2.3,20.1,14100000
Darius Miller,SF,82,3,23.7,2,1.4,0.3,0.2,0.7,7.8,2100000
Malcolm Miller,SF,15,4,8.4,1,0.2,0.1,0.1,0.3,2.5,77250
Paul Millsap,PF,38,37,30.1,6.4,2.8,1,1.2,1.9,14.6,30769231
Donovan Mitchell,SG,79,71,33.4,3.7,3.7,1.5,0.3,2.7,20.5,2621280
Malik Monk,SG,63,0,13.6,1,1.4,0.3,0.1,0.8,6.7,2904480
Greg Monroe,C,51,14,20.4,6.9,2.2,0.9,0.5,1.8,10.3,21384175
Luis Montero,SG,2,0,4,1,0,0,0,1,0,77250
Ben Moore,PF,2,0,4.5,0.5,0.5,0,0,0,0,77250
E'Twaun Moore,SG,82,80,31.5,2.9,2.3,1,0.1,1.2,12.5,8445024
Eric Moreland,PF,67,3,12,4.1,1.2,0.5,0.8,0.6,2.1,1740000
Jaylen Morris,SG,6,0,16.3,2.7,1.2,0.3,0.2,1,4.7,198143
Marcus Morris,PF,54,21,26.7,5.4,1.3,0.6,0.2,1.2,13.6,5000000
Markieff Morris,PF,73,73,27,5.6,1.9,0.8,0.5,1.7,11.5,8000000
Monte Morris,PG,3,0,8.3,0.7,2.3,1,0,0.3,3.3,77250
Johnathan Motley,PF,11,4,16,4.5,0.6,0.3,0.2,0.8,8.7,77250
Timofey Mozgov,C,31,13,11.6,3.2,0.4,0.2,0.4,1.1,4.2,15280000
Emmanuel Mudiay,PG,64,14,19.5,2.4,3.2,0.6,0.2,1.8,8.6,3381480
Shabazz Muhammad,SF-SG,43,2,9.7,1.8,0.3,0.2,0.1,0.1,5,1924755
Xavier Munford,SG,6,0,3.5,0.2,0.7,0.2,0,0.3,0.5,77250
Dejounte Murray,PG,81,48,21.5,5.7,2.9,1.2,0.4,1.7,8.1,1312611
Jamal Murray,PG,81,80,31.7,3.7,3.4,1,0.3,2.1,16.7,3355320
Mike Muscala,C,53,7,20,4.3,1,0.6,0.5,0.8,7.6,5000000
Abdel Nader,SF,48,1,10.9,1.5,0.5,0.3,0.2,0.7,3,1167333
Shabazz Napier,PG,74,10,20.7,2.3,2,1.1,0.2,1.2,8.7,2361359
Jameer Nelson,PG,50,0,20.3,2.1,3.6,0.5,0.1,1.3,4.9,6998920
Raul Neto,PG,41,0,12.1,1.2,1.8,0.3,0.1,0.9,4.5,1471382
Georges Niang,PF,9,0,3.6,1,0.3,0.2,0,0.3,1,177250
Joakim Noah,C,7,0,5.7,2,0.6,0.3,0.3,0.6,1.7,17765000
Nerlens Noel,C,30,6,15.7,5.6,0.7,1,0.7,0.9,4.4,4187599
Lucas Nogueira,C,49,3,8.5,1.8,0.4,0.5,0.9,0.3,2.5,2947304
Dirk Nowitzki,C,77,77,24.7,5.7,1.6,0.6,0.6,0.7,12,5000000
Frank Ntilikina,PG,78,9,21.9,2.3,3.2,0.8,0.2,1.7,5.9,3501120
David Nwaba,SG,70,21,23.5,4.7,1.5,0.8,0.4,1.1,7.9,1312611
Johnny O'Bryant,PF,36,0,10.5,2.6,0.4,0.3,0.2,0.4,4.8,1524305
Royce O'Neale,SF,69,4,16.7,3.4,1.4,0.5,0.2,0.8,5,815615
Kyle O'Quinn,C,77,10,18,6.1,2.1,0.5,1.3,1.3,7.1,4087500
Semi Ojeleye,PF,73,0,15.8,2.2,0.3,0.3,0.1,0.3,2.7,1291892
Emeka Okafor,C,26,19,13.6,4.6,0.3,0.3,1,0.5,4.4,813293
Jahlil Okafor,C,28,0,12.6,3,0.4,0.1,0.6,0.8,6.3,4995120
Victor Oladipo,SG,75,75,34,5.2,4.3,2.4,0.8,2.9,23.1,21000000
Kelly Olynyk,PF,76,22,23.4,5.7,2.7,0.8,0.5,1.9,11.5,12007169
Chinanu Onuaku,C,1,0,22,4,1,0,0,3,4,1312611
