Player,Pos,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS,Salary
Mikal Bridges,SF,72,72,32.6,4.3,2.1,1.1,0.9,0.8,13.5,"4,359,000"
Mike Conley,PG,51,51,29.4,3.5,6,1.4,0.2,1.9,16.2,"34,504,132"
Mike Muscala,C,35,0,18.4,3.8,0.8,0.2,0.3,0.6,9.7,"2,283,034"
Mike Scott,PF,51,12,16.7,2.4,0.8,0.5,0.3,0.4,4.2,"5,005,350"
Miles Bridges,PF,66,19,29.3,6,2.2,0.7,0.8,1.6,12.7,"3,934,320"
Mitchell Robinson,C,31,29,27.5,8.1,0.5,1.1,1.5,0.8,8.3,"1,663,861"
Miye Oni,SG,54,0,9.6,1.6,0.5,0.2,0.1,0.3,1.9,"1,517,981"
Mo Bamba,C,46,5,15.8,5.8,0.8,0.3,1.3,0.8,8,"5,969,040"
Monte Morris,PG,47,13,25.4,2,3.2,0.7,0.3,0.7,10.2,"1,663,861"
Montrezl Harrell,C,69,1,22.9,6.2,1.1,0.7,0.7,1.1,13.5,"9,258,000"
Moritz Wagner,C,45,24,16,3.2,1.1,0.6,0.4,1,6.9,"2,383,915"
Moses Brown,C,43,32,21.4,8.9,0.2,0.7,1.1,1,8.6,"495,102"
Mychal Mulder,PG,60,6,12.8,1,0.4,0.2,0.2,0.3,5.6,"1,517,981"
Myles Turner,C,47,47,31,6.5,1,0.9,3.4,1.4,12.6,"18,000,000"
Nassir Little,PF,48,2,13.3,2.7,0.5,0.1,0.3,0.4,4.6,"2,210,640"
Naz Reid,C,70,15,19.2,4.6,1,0.5,1.1,1,11.2,"1,517,981"
Nemanja Bjelica,PF,37,3,16.1,3.4,1.9,0.4,0.1,0.9,6.5,"7,150,000"
Nerlens Noel,C,64,41,24.2,6.4,0.7,1.1,2.2,1,5.1,"5,000,000"
Nick Richards,PF,18,0,3.5,0.6,0.1,0,0,0.2,0.8,"1,000,000"
Nickeil Alexander-Walker,SG,46,13,21.9,3.1,2.2,1,0.5,1.5,11,"3,113,160"
Nicolas Batum,SF,67,38,27.4,4.7,2.2,1,0.6,0.8,8.1,"11,608,231"
Nicolas Claxton,C,32,1,18.6,5.2,0.9,0.7,1.3,0.6,6.6,"1,517,981"
Nicolò Melli,PF,45,4,12.6,2.7,1,0.3,0.1,0.3,3,"4,097,561"
Nikola Jokić,C,72,72,34.6,10.8,8.3,1.3,0.7,3.1,26.4,"28,542,009"
Nikola Vučević,C,70,70,33.5,11.7,3.8,0.9,0.7,1.8,23.4,"26,000,000"
Noah Vonleh,PF,4,0,2.8,0.3,0.3,0,0,0.5,0,"263,995"
Norman Powell,SG-SF,69,58,32,3.1,1.9,1.2,0.3,1.7,18.6,"10,865,952"
Norvel Pelle,C,13,0,6.5,1.5,0.2,0.1,0.7,0.2,1.5,"717,845"
Obi Toppin,PF,62,0,11,2.2,0.5,0.3,0.2,0.4,4.1,"4,862,040"
OG Anunoby,SF,43,43,33.3,5.5,2.2,1.5,0.7,1.7,15.9,"3,872,215"
Onyeka Okongwu,C,50,4,12,3.3,0.4,0.5,0.7,0.6,4.6,"5,813,640"
Oshae Brissett,SF,21,16,24.7,5.5,0.9,0.9,1,0.5,10.9,"557,453"
Otto Porter,SF-PF,28,6,21.6,5.4,2,0.6,0.1,0.9,9.7,"28,489,239"
P.J. Tucker,PF,52,33,26.1,3.9,1.2,0.8,0.4,0.8,3.7,"7,969,537"
P.J. Washington,PF,64,61,30.5,6.5,2.5,1.1,1.2,2,12.9,"4,023,600"
Pascal Siakam,PF,56,56,35.8,7.2,4.5,1.1,0.7,2.3,21.4,"29,000,000"
Pat Connaughton,SG,69,4,22.8,4.8,1.2,0.7,0.3,0.5,6.8,"4,938,272"
Patrick Beverley,PG,37,34,22.5,3.2,2.1,0.8,0.8,0.9,7.5,"13,333,333"
Patrick McCaw,SF,5,0,6.6,0.6,0.8,0.4,0,0,1,"4,000,000"
Patrick Patterson,PF,38,5,15.3,2,0.8,0.4,0.2,0.3,5.2,"3,814,768"
Patrick Williams,PF,71,71,27.9,4.6,1.4,0.9,0.6,1.4,9.2,"7,068,360"
Patty Mills,PG,68,1,24.8,1.7,2.4,0.6,0,1,10.8,"13,285,714"
Paul George,SF,54,54,33.7,6.6,5.2,1.1,0.4,3.3,23.3,"35,450,412"
Paul Millsap,PF,56,36,20.8,4.7,1.8,0.9,0.6,0.9,9,"10,000,000"
Paul Watson,SF,27,2,11,1.7,0.6,0.2,0.1,0.3,4.1,"1,445,697"
Payton Pritchard,SG,66,4,19.2,2.4,1.8,0.6,0.1,0.8,7.7,"2,035,800"
Precious Achiuwa,PF,61,4,12.1,3.4,0.5,0.3,0.5,0.7,5,"2,582,160"
Quinn Cook,PG,23,0,6.8,0.7,0.8,0.2,0,0.3,3.3,"1,797,183"
R.J. Hampton,SG-PG,51,1,17.4,3.5,1.7,0.4,0.2,1,6.9,"2,193,480"
Rajon Rondo,PG,45,3,17.1,2.4,4.4,0.8,0.1,1.8,5.4,"7,500,000"
Raul Neto,PG,64,22,21.9,2.4,2.3,1.1,0.1,0.8,8.7,"1,882,867"
Rayjon Tucker,PG,14,0,4.9,0.8,0.4,0.1,0,0.3,2.4,"340,000"
Reggie Bullock,SF,65,64,30,3.4,1.5,0.8,0.2,0.7,10.9,"4,200,000"
Reggie Jackson,SG,67,43,23,2.9,3.1,0.6,0.1,1.1,10.7,"2,331,593"
Richaun Holmes,C,61,61,29.2,8.3,1.7,0.6,1.6,1.2,14.2,"5,005,350"
Ricky Rubio,PG,68,51,26.1,3.3,6.4,1.4,0.1,1.6,8.6,"17,000,000"
RJ Barrett,SG,72,72,34.9,5.8,3,0.7,0.3,1.9,17.6,"8,231,760"
Robert Covington,PF,70,70,32,6.7,1.7,1.4,1.2,0.9,8.5,"12,138,345"
Robert Williams,C,52,13,18.9,6.9,1.8,0.8,1.8,1,8,"2,029,920"
Robert Woodard,SF,13,0,3.5,1.2,0.2,0,0.2,0.1,1.5,"1,500,000"
Robin Lopez,C,71,9,19.1,3.8,0.8,0.2,0.6,1.1,9,"7,300,000"
Rodions Kurucs,SF-PF,21,0,6,1.1,0.5,0.4,0.2,0.6,1.5,"1,780,152"
Rodney Hood,SF,55,5,17.1,1.9,1,0.4,0.1,0.7,4.5,"10,047,450"
Rodney McGruder,SG,16,2,12.1,1.4,1,0.5,0.1,0.4,5.7,"5,000,000"
Romeo Langford,SG,18,4,15.7,1.9,0.7,0.3,0.3,0.6,3.1,"3,631,200"
Rondae Hollis-Jefferson,PF,11,1,9.7,2.4,1.2,0.2,0.4,0.2,2.5,"245,031"
Royce O'Neale,SF,71,71,31.6,6.8,2.5,0.8,0.5,1.2,7,"8,035,714"
